Patent number,Title,Inventor name,Date,Page count,PDF link
US-D947194-S,Controller,He; Yuechun,2022-03-29,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D947194
US-D947461-S,Vertical fall arrest safety device,Voss; Barry et al.,2022-03-29,16,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D947461
US-11278441-B2,Modular supportive spinal brace,Saban; Clint,2022-03-22,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11278441
US-11278274-B2,Suture passing device,Pisarnwongs; Roger et al.,2022-03-22,36,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11278274
US-11278143-B2,Absorbent pad holder and containment system,King; Steven,2022-03-22,27,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11278143
US-11272864-B2,Respiratory disease monitoring wearable apparatus,Dwarika; Jared,2022-03-15,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11272864
US-11275377-B2,System and methodology for light level audit sampling,Dutton; Trent,2022-03-15,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11275377
US-11264939-B2,Exterior siding material with integrated solar panel,Keller; Alexander,2022-03-01,20,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11264939
US-D944640-S,Container,Wu; Jingdong,2022-03-01,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D944640
US-D944641-S,Container,Wu; Jingdong,2022-03-01,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D944641
US-11255451-B2,Seismically activated gas shut-off valve with weight displaced trigger mechanism,Minato; Tod et al.,2022-02-22,21,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11255451
US-11253378-B2,Hands-free apparatus to apply a liner to an amputated appendage,Stevenson; Tim Lee,2022-02-22,16,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11253378
US-11246586-B2,Instrument to manipulate and pass suture,Weisel; Thomas et al.,2022-02-15,21,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11246586
US-D943340-S,Coconut puncturing device,Manusrungsri; Kemtas et al.,2022-02-15,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D943340
US-11241784-B2,Workbench with collapsible pegboard,Chiao; Jerry et al.,2022-02-08,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11241784
US-D942798-S,Coconut puncturing device,Manusrungsri; Kemtas et al.,2022-02-08,29,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D942798
US-D943071-S,Humidifier,Hu; Yangmin et al.,2022-02-08,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D943071
US-D943072-S,Humidifier,Hu; Yangmin et al.,2022-02-08,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D943072
US-11229427-B2,Dual insufflation and wound closure devices and methods,Heneveld; Scott,2022-01-25,25,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11229427
US-11224288-B2,Modular closet system,Chiao; Jerry et al.,2022-01-18,17,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11224288
US-11227439-B2,Systems and methods for multi-user virtual reality remote training,Bridgeman; Mark et al.,2022-01-18,24,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11227439
US-11226198-B2,Three-dimensional scanning system,Yu; Liang-Pin et al.,2022-01-18,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11226198
US-D941511-S,Flashlight assembly,Li; Wenjie,2022-01-18,49,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D941511
US-11213109-B2,Cosmetic eyeliner applicator and a method of utilisation thereof,Patsalides; Irene,2022-01-04,14,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11213109
US-11214969-B2,Tile spacing plate for lippage control,Psaila; Andy,2022-01-04,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11214969
US-11217405-B2,Illuminated keyboard and backlight module thereof,Ho; Hsuan-Wei,2022-01-04,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11217405
US-11207848-B2,Buffering gas cushion machine,Si; Kuangshu et al.,2021-12-28,20,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11207848
US-11207243-B2,"System, method, and module for integrated medication management",Lam; Bin Wai,2021-12-28,30,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11207243
US-11203033-B2,Essential oil diffuser,Freeman; Jason P.,2021-12-21,44,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11203033
US-11204144-B2,LED flame bulb and light string containing same,Xu; Guodu et al.,2021-12-21,13,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11204144
US-11199394-B2,Apparatus for three-dimensional shape measurement,Yu; Liang-Pin et al.,2021-12-14,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11199394
Patent number,Title,Inventor name,Date,Page count,PDF link
US-D938573-S,Fan grille,He; Xiangming et al.,2021-12-14,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D938573
US-D937640-S,Container,Zhen; Kunhua,2021-12-07,13,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D937640
US-11189245-B2,System and methodology for the high-fidelity display of artwork images,Pavic; Boris,2021-11-30,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11189245
US-11181229-B2,Rigging ladder system for lighting fixtures or entertainment equipment,Shimamoto; Matthew,2021-11-23,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11181229
US-11182006-B1,Illuminated touch panel and backlight assembly thereof,Ho; Hsuan-Wei et al.,2021-11-23,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11182006
US-D936203-S,Blower,He; Xiangming et al.,2021-11-16,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D936203
US-11162197-B2,Three-dimensional integrated shoe blank with tongue and method for manufacturing the same,Li; Yu-Lin et al.,2021-11-02,26,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11162197
US-11163106-B2,Multilayer opto-electronic module,Ho; Hsuan-Wei et al.,2021-11-02,13,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11163106
US-11155626-B2,Anti-human PD-L1 humanized monoclonal antibody and application thereof,Zhu; Yixiang et al.,2021-10-26,34,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11155626
US-11154109-B2,Three-dimensional (3D) shoe blank made by flat knitting machine and manufacturing method thereof,Li; Yu-Lin et al.,2021-10-26,30,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11154109
US-11155994-B2,Modular prefabricated wall system and a method of assembly thereof,Manisier; Howard,2021-10-26,13,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11155994
US-11150057-B2,"Method and device for providing betting dart game, and computer program",Hong; Sang Uk,2021-10-19,19,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11150057
US-11140802-B2,Soil loosening and furrower assemblies and a bed renovator therefor,Hamilton; Gregory,2021-10-12,16,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11140802
US-11145854-B2,Process for preparing cathode of lithium battery and lithium battery having the cathode,Lin; Caoping et al.,2021-10-12,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11145854
US-11144131-B1,Illuminated module and keyboard thereof,Ho; Hsuan-Wei et al.,2021-10-12,16,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11144131
US-D933260-S,Shed panel,Ohanesian; Viken,2021-10-12,5,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D933260
US-D932886-S,Folding storage box,Song; Changyou,2021-10-12,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D932886
US-D933261-S,Shed panel,Ohanesian; Viken,2021-10-12,5,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D933261
US-11139770-B2,Gate driving circuit applied to motor inverter and gate driving method,Huang; Chung-Wei et al.,2021-10-05,32,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11139770
US-D932449-S,Lighting controller,Zhu; Jianjun,2021-10-05,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D932449
US-D932117-S,Cosmetic brush cleaning machine,Xiao; Guopu,2021-09-28,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D932117
US-11125953-B2,Fiber optical connector,Cui; Yang-Yang et al.,2021-09-21,16,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11125953
US-D931436-S,Blower,He; Xiangming et al.,2021-09-21,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D931436
US-11116526-B2,Intramedullary based and omni-positionable cutting guide instrumentation for femoral epiphysis resection for knee prosthesis placement and a method of operation thereof,Mason; Michael,2021-09-14,46,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11116526
US-11120336-B2,Anomaly detection independent of a normal pattern of input data,Yoon; Andre S. et al.,2021-09-14,28,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11120336
US-11119590-B2,Opto-electronic module,Ho; Hsuan-Wei et al.,2021-09-14,14,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11119590
US-11121621-B1,Low-power-consumption protection circuit,Chen; Fu-Sung et al.,2021-09-14,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11121621
US-11109627-B2,System and method of pattern-making for mass customized production of apparels,Krishnan; Balan Gopala et al.,2021-09-07,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11109627
US-11112282-B2,Concealed fire detector suspension apparatus,Vance; Julian et al.,2021-09-07,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11112282
US-D929947-S,Smart switch,Chandwani; Brijesh et al.,2021-09-07,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D929947
US-D929948-S,Smart switch,Chandwani; Brijesh et al.,2021-09-07,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D929948
US-D929965-S,Wireless controller for simultaneous multiple device operation,Chandwani; Brijesh et al.,2021-09-07,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D929965
US-11103824-B2,Vacuum pump and array thereof,Cho; Ho-Young,2021-08-31,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11103824
US-11104521-B2,Apparatus for transporting aggregates or similar,Bottini; Mirko et al.,2021-08-31,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11104521
US-11101933-B2,Methods and systems for low latency wireless communication with a scalable hierarchial architecture,Luo; Xiaoyang et al.,2021-08-24,19,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11101933
US-11096343-B1,Hydroponic apparatus,Farmer; Toby,2021-08-24,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11096343
US-11091957-B2,Modular ladder system,Voss; Barry et al.,2021-08-17,45,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11091957
US-11084514-B2,Semipermanent wheelbarrow enclosure,Chester; Jason,2021-08-10,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11084514
US-11087551-B2,Systems and methods for attaching synchronized information between physical and virtual environments,Kjallstrom; Jan et al.,2021-08-10,25,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11087551
US-11084193-B2,Manufacturing method of molded article including annular resin member,Nakamura; Masayoshi,2021-08-10,28,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11084193
US-11084388-B2,Fast charging battery pack and methods to charge fast,Nguyen; James et al.,2021-08-10,42,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11084388
US-D927694-S,Intraoral orthosis,Smith; Jacob,2021-08-10,14,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D927694
US-11067741-B1,Backlight module and illuminated touch device thereof,Ho; Hsuan-Wei et al.,2021-07-20,14,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11067741
US-D925698-S,Micro-nano bubble sprinkler,Tian; Song et al.,2021-07-20,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D925698
US-11059890-B2,Anti-human PD-1 humanized monoclonal antibody and application thereof,Li; Ge et al.,2021-07-13,29,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11059890
US-11063428-B2,Switch circuit,Tsai; Hsien-Yi et al.,2021-07-13,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11063428
US-11052568-B2,Reactor system and process for wood modification,Rademakers; Karlijn et al.,2021-07-06,14,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11052568
US-11052971-B2,Floating offshore platform,Aguire Suso; Goren et al.,2021-07-06,21,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11052971
US-11052270-B2,Vertical fall arrest safety device,Voss; Murray et al.,2021-07-06,13,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11052270
US-11046170-B2,Modular electric wheel assembly for an electric vehicle,Hart; Brendan,2021-06-29,17,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11046170
Patent number,Title,Inventor name,Date,Page count,PDF link
US-11046343-B2,Device for transporting items,Stroh; Isaac,2021-06-29,14,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11046343
US-11049606-B2,Dental imaging system utilizing artificial intelligence,Johnson; Dustin,2021-06-29,13,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11049606
US-11044993-B2,Ladder mount assembly for shelving,Chiao; Jerry et al.,2021-06-29,17,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11044993
US-D923588-S,Lighting controller,Zhu; Jianjun,2021-06-29,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D923588
US-11043869-B2,Motor stator structure and stator assembly,Hsu; Wei-Min,2021-06-22,17,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11043869
US-D922961-S,Smart switch,Chandwani; Brijesh et al.,2021-06-22,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D922961
US-11035827-B2,Methods and instrumentation for detection of transverse rolling contact fatigue rail defects within head-hardened rail,Friend; Rodney,2021-06-15,16,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11035827
US-11028881-B2,Bearing lubrication application control system with lubrication volume scheduling,Meenakshisundaram; Annamalai et al.,2021-06-08,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11028881
US-11032896-B2,Control apparatus for light emitting diodes,Lin; Chen-Chi,2021-06-08,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11032896
US-11022758-B2,Fiber optical adapter having a railed partitioning,Chiu; Chin-Huang,2021-06-01,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11022758
US-D921171-S,Hand warmer,He; Xiangming et al.,2021-06-01,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D921171
US-11019758-B2,Electromagnetic shielding film and preparation method therefor,Cui; Qingchen et al.,2021-05-25,7,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11019758
US-11015790-B2,Slim linear LED lighting device,Chen; Yen-Cheng et al.,2021-05-25,24,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11015790
US-11016249-B2,Fiber optical connector,Cui; Yang-Yang et al.,2021-05-25,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11016249
US-D920553-S,Flashlight,Qiu; Enyuan,2021-05-25,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D920553
US-11009213-B2,Pneumatically switched balloon light,Qin; Yanbei,2021-05-18,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11009213
US-11009076-B2,Rotary seal,Sato; Takahiko et al.,2021-05-18,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11009076
US-10994620-B2,Electric bicycle and battery lift mechanism and battery carrying device thereof,Shieh; Yu-Chang,2021-05-04,32,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10994620
US-D918034-S,Container,Tan; Xuneng,2021-05-04,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D918034
US-D918338-S,Misting kit,He; Xiangming et al.,2021-05-04,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D918338
US-D918427-S,Step attachment,Bailey; Kevin,2021-05-04,7,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D918427
US-D917819-S,Wheelbarrow enclosure,Chester; Jason,2021-04-27,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D917819
US-D917616-S,Burlap letter board,Thiele; Mayne,2021-04-27,21,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D917616
US-D917170-S,Suitcase insert,Tsai; Kevin et al.,2021-04-27,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D917170
US-10982011-B2,Process for acetylation of wood in the presence of an acetylation catalyst,Van Dommele; Stefan et al.,2021-04-20,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10982011
US-10983149-B2,Inrush current test device,Hsiao; Jen-Hao,2021-04-20,20,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10983149
US-D916824-S,Display screen or portion thereof with graphical user interface,Mylonas; George,2021-04-20,2,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D916824
US-D916463-S,Suitcase insert,Tsai; Kevin et al.,2021-04-20,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D916463
US-D916464-S,Suitcase insert,Tsai; Kevin et al.,2021-04-20,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D916464
US-10972281-B2,System and method for document information authenticity verification,Scott; Guy et al.,2021-04-06,22,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10972281
US-D915532-S,Exercise step box,Manson; Timothy Ray,2021-04-06,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D915532
US-10960391-B2,Method and system of elemental sulfur recycling and catalyst regenerating for sulfur-deposited catalyst,Ning; Ping et al.,2021-03-30,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10960391
US-D914803-S,Pencil,Phongsuwan; Worakorn,2021-03-30,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D914803
US-10955269-B2,Wearable apparatus,Dwarika; Jared et al.,2021-03-23,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10955269
US-10954647-B2,"Foundation structure for building, and construction method therefor",Takeuchi; Kinji,2021-03-23,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10954647
US-10954989-B2,Screw with irregular knurling pattern,Lucas; William Richard,2021-03-23,19,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10954989
US-10946548-B2,Wood treatment system and method for wood treatment,Pol; Bernardus Jozef Maria et al.,2021-03-16,17,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10946548
US-10946421-B2,Process for producing a biocompatible soil mixture from cremated ash remains and ground penetrating apparatus therefor,Roberts; Warren et al.,2021-03-16,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10946421
US-10946409-B2,"Device and method for applying adhesive to cores by a dispensing means while the cores move along a feed direction, the cores used to produce a log",Buffa; Giovanni et al.,2021-03-16,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10946409
US-10948651-B1,Keyboard backlight module and manufacturing method thereof,Ho; Hsuan-Wei et al.,2021-03-16,14,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10948651
US-10942582-B2,Keyboard layout,Petersen; Victor,2021-03-09,17,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10942582
US-10939755-B2,Modular closet system,Chiao; Jerry et al.,2021-03-09,17,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10939755
US-D912476-S,Cooler with game lid,Chuang; Yuan-Luen et al.,2021-03-09,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D912476
US-D912616-S,Box for battery cells,He; Yuechun,2021-03-09,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D912616
US-10925913-B2,"Low toxic tripterygium neoglycosides, preparation method and application thereof",Liu; Bo et al.,2021-02-23,17,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10925913
US-10928339-B2,Catalytic-conversion-type sensor,Maekawa; Toru et al.,2021-02-23,26,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10928339
US-10918084-B2,Chemical applicator for a pet door,Ralli; Rohit,2021-02-16,27,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10918084
US-D910580-S,Lighting controller,Zhu; Jianjun,2021-02-16,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D910580
US-10913474-B1,Cart with removable table extensions,Chiao; Jerry et al.,2021-02-09,14,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10913474
US-10906603-B2,Bicycle,Gherezghiher; Amanuel,2021-02-02,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10906603
Patent number,Title,Inventor name,Date,Page count,PDF link
US-10907817-B2,Screw type light-emitting device and balloon light with the light-emitting device,Qin; Yanbei,2021-02-02,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10907817
US-10907788-B2,Swinging electronic candle and method for assembling the same,Ding; Yingqi,2021-02-02,13,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10907788
US-10905212-B2,Multi-functional storage box,Song; Changyou,2021-02-02,28,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10905212
US-10905235-B2,Modular closet system,Chiao; Jerry et al.,2021-02-02,19,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10905235
US-10905236-B1,Wire shelf,Chiao; Jerry et al.,2021-02-02,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10905236
US-10898532-B2,Methods for manufacturing and purifying dried burdock seed extract,Chen; Fu-An et al.,2021-01-26,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10898532
US-10901154-B2,Fiber optical connector,Chiu; Chin-Huang et al.,2021-01-26,16,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10901154
US-10899849-B2,Method for the production of pullulan capsules,Yun; Xianyu et al.,2021-01-26,6,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10899849
US-D908518-S,Voltage detecting marking pen,Clarke; Ryan,2021-01-26,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D908518
US-10894333-B2,Machines for forming spaghetti from vegetable products,Turatti; Antonio,2021-01-19,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10894333
US-10897242-B2,Frequency demultiplication adjustment method of PLL,Zeng; Tao et al.,2021-01-19,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10897242
US-10894971-B1,Method for the production of pullulan soft capsules,Yun; Xianyu et al.,2021-01-19,6,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10894971
US-10889744-B2,Clarification of colloidal suspensions,Baldwin; Robert Delane,2021-01-12,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10889744
US-D907827-S,Flashlight,Qiu; Enyuan,2021-01-12,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D907827
US-D907877-S,Kitchen cart with removable drop leaves,Chiao; Jerry et al.,2021-01-12,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D907877
US-10883767-B2,Multi-fluid heat exchanger,Lee; Poh Seng et al.,2021-01-05,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10883767
US-10878378-B2,Retail supply chain management system,Frye; Gregory,2020-12-29,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10878378
US-D906028-S,Workbench,Chiao; Jerry et al.,2020-12-29,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D906028
US-10870897-B2,Method of edge imprinting of leather substrates,Mamat; Omer Suat,2020-12-22,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10870897
US-D905854-S,Cauterizing device,Kao; Selvin,2020-12-22,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D905854
US-10864453-B2,Automatic mobile robot for facilitating activities to improve child development,Kaewkamnerdpong; Boonserm et al.,2020-12-15,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10864453
US-D905216-S,Heater,He; Xiangming et al.,2020-12-15,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D905216
US-10861241-B2,Floorplan visualisation system,Ghaleb; Christopher,2020-12-08,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10861241
US-10859338-B2,Counteracting pulley block,Polanich; Jonathan C.,2020-12-08,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10859338
US-D903924-S,Ultra-thin light,Mei; Zhiguo,2020-12-01,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D903924
US-D903866-S,Microneedling pen,Chen; Yonghua,2020-12-01,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D903866
US-10847062-B2,Tag for bundles of metal products obtained from respective iron and steel processes,Bottini; Mirko et al.,2020-11-24,10,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10847062
US-10835019-B2,Sports hydration apparatus,Soley; Rick,2020-11-17,20,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10835019
US-D902027-S,Container,Chen; Linzhao,2020-11-17,6,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D902027
US-D902307-S,Block pencil holder,Phongsuwan; Worakorn,2020-11-17,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D902307
US-10829958-B2,"Handle assembly with lock, particularly for a glass leaf",Francesca; Masiero,2020-11-10,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10829958
US-10821347-B2,Virtual reality sports training systems and methods,Reilly; Brendan et al.,2020-11-03,60,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10821347
US-D900792-S,Antenna,Adela; Bedilu et al.,2020-11-03,6,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D900792
US-10815060-B2,"Buffer apparatus for cores made of paper material, for production lines of toilet rolls or absorbent paper rolls or similar paper or absorbent materials",Buffa; Giovanni et al.,2020-10-27,14,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10815060
US-10814705-B2,Deployable canopies for vehicles,Donkin; Mark,2020-10-27,21,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10814705
US-10814200-B2,Sports hitting training system for lightweight balls,Scott; Terence,2020-10-27,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10814200
US-10807229-B1,Workbench with collapsible pegboard,Chiao; Jerry et al.,2020-10-20,11,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10807229
US-10800202-B2,Method and device for document security by generating multiple reflective and transmissive latent images,Quintana Arregui; Patxi Xabier et al.,2020-10-13,18,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10800202
US-10803384-B2,Anomaly detection,Yoon; Andre S. et al.,2020-10-13,28,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10803384
